event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
episode,1792.715210583061,440338,2000,0.8561562533333333,100000,438212,2.396506936818361,2000,2000,0.0,264.2827589335524,128.42,115.2,256
episode,1831.9692767499946,446610,2050,0.8541074,100000,444484,2.468052276134491,2000,2000,0.0,257.6619681121355,125.44,123.2,256
env_step,1856.213709292002,450000,2077,0.853,100000,447874,2.2604718648195266,2000,2000,,,,,
episode,1873.0549922920763,452605,2100,0.8521490333333334,100000,450479,2.3535408565998077,2000,2000,0.0,245.3227106482201,119.9,105.6,256
episode,1915.7113991249353,458774,2150,0.8501338266666667,100000,456648,2.4323009191453457,2000,2000,0.0,252.85656155085738,123.38,120.32,256
env_step,1924.0699047921225,460000,2161,0.8497333333333333,100000,457874,2.3682675411850216,2000,2000,,,,,
episode,1959.0107148750685,464858,2200,0.8481463866666666,100000,462732,2.305214872851968,2000,2000,0.0,247.77048389767896,121.68,108.16,256
env_step,1995.9182685420383,470000,2244,0.8464666666666667,100000,467874,2.376750425159931,2000,2000,,,,,
episode,2000.3135794580448,470652,2250,0.84625368,100000,468526,2.416962205633521,2000,2000,0.0,235.22366276746962,115.88,104.32,128
episode,2041.9325295831077,476640,2300,0.8442976,100000,474514,2.3707792169302704,2000,2000,0.0,244.95112725158958,119.76,109.44,256
env_step,2066.130502333166,480000,2330,0.8432,100000,477874,2.4560288459807635,2000,2000,,,,,
episode,2085.6574277919717,482625,2350,0.8423425,100000,480499,2.465793763756752,2000,2000,0.0,243.9511966813287,119.7,107.2,256
episode,2128.115270541981,488168,2400,0.8405317866666666,100000,486042,2.310886890023947,2000,2000,0.0,223.8223085087941,110.86,99.84,256
env_step,2141.9214018329512,490000,2415,0.8399333333333333,100000,487874,2.326372616156936,2000,2000,,,,,
episode,2168.0021355419885,493932,2450,0.83864888,100000,491806,2.360813452079892,2000,2000,0.0,233.6264205622504,115.28,102.08,256
env_step,2206.822690542089,500000,2495,0.8366666666666667,100000,497874,2.3713009614944456,2000,2000,,,,,
greedy_eval,2206.823469707975,500000,2495,0.8366666666666667,100000,497874,2.3713009614944456,2000,2000,0.0,,122.645,105.52,
episode,2240.554160375148,500420,2500,0.8365294666666667,100000,498294,2.4009061836898327,2000,2000,0.0,268.90262412544416,129.76,121.6,256
episode,2280.529430417111,506418,2550,0.83457012,100000,504292,2.43121221549809,2000,2000,0.0,244.2687046794111,119.96,104.96,256
env_step,2303.5835477921646,510000,2579,0.8334,100000,507874,2.3227571254223585,2000,2000,,,,,
episode,2319.81059604208,512411,2600,0.8326124066666667,100000,510285,2.4309665501713753,2000,2000,0.0,242.88259469079458,119.86,115.2,256
episode,2360.155960708158,518490,2650,0.8306266,100000,516364,2.324326949670911,2000,2000,0.0,248.07344296883494,121.58,113.92,256
env_step,2369.8659907081164,520000,2664,0.8301333333333334,100000,517874,2.401528215393424,2000,2000,,,,,
episode,2397.7369864999782,524064,2700,0.8288057600000001,100000,521938,2.3823027043044567,2000,2000,0.0,222.48551094899167,111.48,94.4,256
episode,2433.61183741712,529662,2750,0.82697708,100000,527536,2.2589664984792472,2000,2000,0.0,226.32002929257877,111.96,94.72,256
env_step,2436.0337017080747,530000,2752,0.8268666666666666,100000,527874,2.2421689000427723,2000,2000,,,,,
episode,2474.6754631251097,535768,2800,0.8249824533333333,100000,533642,2.3834077912420035,2000,2000,0.0,249.97659953392912,122.12,106.24,256
env_step,2502.505634417059,540000,2835,0.8236,100000,537874,2.302501372411847,2000,2000,,,,,
episode,2513.2005791249685,541648,2850,0.8230616533333334,100000,539522,2.3621969791054727,2000,2000,0.0,240.38181416034345,117.6,111.68,256
episode,2555.844031332992,547730,2900,0.8210748666666667,100000,545604,2.363376748204231,2000,2000,0.0,251.1478259006132,121.64,114.56,256
env_step,2571.337954167044,550000,2917,0.8203333333333334,100000,547874,2.2980914577543734,2000,2000,,,,,
episode,2597.210024249973,553747,2950,0.8191093133333334,100000,551621,2.306562064990401,2000,2000,0.0,245.98838969188634,120.34,106.88,256
episode,2639.0828047499526,559934,3000,0.8170882266666667,100000,557808,2.4768962368518115,2000,2000,0.0,254.52696937627294,123.74,116.48,256
env_step,2639.5867161250208,560000,3000,0.8170666666666666,100000,557874,2.467992070928216,2000,2000,,,,,
episode,2677.919314207975,565751,3050,0.8151880066666667,100000,563625,2.430645719319582,2000,2000,0.0,235.07675405455618,116.34,100.48,256
env_step,2706.374577041948,570000,3083,0.8138,100000,567874,2.4532012122422455,2000,2000,,,,,
episode,2720.6007346250117,572029,3100,0.8131371933333333,100000,569903,2.4210856285095215,2000,2000,0.0,261.32690293049023,125.56,120.96,256
episode,2760.8833021251485,577830,3150,0.8112422,100000,575704,2.4573270446807145,2000,2000,0.0,235.11779541515153,116.02,105.92,256
env_step,2775.296515833121,580000,3168,0.8105333333333333,100000,577874,2.463658730760217,2000,2000,,,,,
episode,2800.1643919581547,583649,3200,0.8093413266666667,100000,581523,2.340587437406182,2000,2000,0.0,235.51117495775955,116.38,107.52,256
episode,2840.89004462515,589718,3250,0.8073587866666667,100000,587592,2.4151151529103516,2000,2000,0.0,249.12701124382824,121.38,112.0,256
env_step,2842.895884375088,590000,3251,0.8072666666666667,100000,587874,2.409006716132164,2000,2000,,,,,
episode,2883.7419250421226,596092,3300,0.8052766133333333,100000,593966,2.279448313251138,2000,2000,0.0,263.86603059601333,127.48,119.68,256
env_step,2910.02030291711,600000,3332,0.804,100000,597874,2.254241376489401,2000,2000,,,,,
greedy_eval,2910.021061208099,600000,3332,0.804,100000,597874,2.254241376489401,2000,2000,0.0,,125.106,106.336,
episode,2957.019598542014,602148,3350,0.80329832,100000,600022,2.271276712730527,2000,2000,0.0,247.778246442054,121.12,110.08,256
episode,2997.4427052501123,608259,3400,0.80130206,100000,606133,2.3004757104068996,2000,2000,0.0,252.5765231427217,122.22,105.6,256
env_step,3008.8230138330255,610000,3415,0.8007333333333333,100000,607874,2.2949538575708868,2000,2000,,,,,
episode,3036.9259613750037,614158,3450,0.7993750533333334,100000,612032,2.308637019336224,2000,2000,0.0,239.71804124380017,117.98,108.8,256
env_step,3075.3809921671636,620000,3496,0.7974666666666667,100000,617874,2.3280555818378925,2000,2000,,,,,
episode,3078.325721082976,620447,3500,0.7973206466666667,100000,618321,2.3444480850696565,2000,2000,0.0,260.6748980327389,125.78,116.48,256
episode,3117.646374291973,626425,3550,0.7953678333333334,100000,624299,2.4161760821193456,2000,2000,0.0,243.60616516080526,119.56,111.36,256
env_step,3141.3930211251136,630000,3579,0.7942,100000,627874,2.3635898771733044,2000,2000,,,,,
episode,3157.149705958087,632387,3600,0.7934202466666667,100000,630261,2.25201603898406,2000,2000,0.0,242.9311416460578,119.24,119.68,256
episode,3200.24231279199,638608,3650,0.7913880533333333,100000,636482,2.3466856283843516,2000,2000,0.0,256.9730339888898,124.42,114.56,256
env_step,3209.5716501250863,640000,3662,0.7909333333333333,100000,637874,2.2819225330799817,2000,2000,,,,,
episode,3236.820101832971,644220,3700,0.7895548,100000,642094,2.224817145138979,2000,2000,0.0,227.63914412903813,112.24,98.88,256
env_step,3274.7856573751196,650000,3749,0.7876666666666666,100000,647874,2.3498206307291984,2000,2000,,,,,
episode,3275.1687159170397,650062,3750,0.7876464133333333,100000,647936,2.3539719159305097,2000,2000,0.0,237.3846314453337,116.84,104.96,256
episode,3313.5598701250274,655879,3800,0.7857461933333334,100000,653753,2.243657894641161,2000,2000,0.0,236.34098432232622,116.34,106.88,512
env_step,3339.892817832995,660000,3831,0.7844,100000,657874,2.2921427249461415,2000,2000,,,,,
episode,3355.175619167043,662499,3850,0.78358366,100000,660373,2.2896534662544727,2000,2000,0.0,274.55182318198314,132.4,124.16,256
episode,3393.093636458041,668733,3900,0.78154722,100000,666607,2.2858251853734255,2000,2000,0.0,255.38860847404726,124.68,112.64,256
env_step,3401.3428346251603,670000,3910,0.7811333333333333,100000,667874,2.2597498036772015,2000,2000,,,,,
episode,3434.0091146251652,675007,3950,0.7794977133333334,100000,672881,2.384660929054022,2000,2000,0.0,257.58106155541924,125.48,117.12,256
env_step,3467.275109207956,680000,3993,0.7778666666666667,100000,677874,2.3896361139416693,2000,2000,,,,,
episode,3471.896166041959,680606,4000,0.7776687066666667,100000,678480,2.375136095866561,2000,2000,0.0,224.6130732919112,111.98,101.76,256
episode,3513.70654308307,686411,4050,0.7757724066666667,100000,684285,2.3756865540742873,2000,2000,0.0,236.4914158099282,116.1,104.96,256
env_step,3539.992777208099,690000,4079,0.7746,100000,687874,2.322127627313137,2000,2000,,,,,
episode,3554.5940760830417,692299,4100,0.7738489933333333,100000,690173,2.31774803738296,2000,2000,0.0,241.92395145553076,117.76,102.4,256
episode,3596.1669442080893,698778,4150,0.77173252,100000,696652,2.364086249515414,2000,2000,0.0,268.7226558175944,129.58,125.44,256
env_step,3603.8912029170897,700000,4161,0.7713333333333333,100000,697874,2.358309292331338,2000,2000,,,,,
greedy_eval,3603.8916357499547,700000,4161,0.7713333333333333,100000,697874,2.358309292331338,2000,2000,0.0,,136.951,120.272,
episode,3666.437556750141,704847,4200,0.7697499800000001,100000,702721,2.435717058673501,2000,2000,0.0,248.84458938371162,121.38,115.2,256
env_step,3700.9555865,710000,4242,0.7680666666666667,100000,707874,2.404198916822672,2000,2000,,,,,
episode,3706.8904306250624,710809,4250,0.7678023933333333,100000,708683,2.4553214495629074,2000,2000,0.0,243.55977851254983,119.24,109.44,256
episode,3745.182428417029,716673,4300,0.76588682,100000,714547,2.407617929175496,2000,2000,0.0,238.20998681885752,117.28,99.2,256
env_step,3766.2460614170413,720000,4328,0.7648,100000,717874,2.464633425593376,2000,2000,,,,,
episode,3781.427394917002,722375,4350,0.7640241666666667,100000,720249,2.4471921252161266,2000,2000,0.0,233.58094896576785,114.04,104.32,256
episode,3818.6661842500325,728172,4400,0.7621304799999999,100000,726046,2.4203246603906154,2000,2000,0.0,234.54078401974658,115.94,104.32,256
env_step,3830.719359167153,730000,4415,0.7615333333333333,100000,727874,2.4088942894488574,2000,2000,,,,,
episode,3862.998157416936,734622,4450,0.76002348,100000,732496,2.4221679900586603,2000,2000,0.0,266.16253063151265,129.0,119.68,256
env_step,3899.549945167033,740000,4493,0.7582666666666666,100000,737874,2.3034253795295956,2000,2000,,,,,
episode,3904.090789542068,740654,4500,0.7580530266666666,100000,738528,2.2862228202819823,2000,2000,0.0,246.98876803502273,120.64,108.16,256
episode,3943.439457874978,746657,4550,0.7560920466666666,100000,744531,2.311431284978986,2000,2000,0.0,246.46392886192942,120.06,108.8,256
env_step,3964.0872792080045,750000,4576,0.755,100000,747874,2.31213061773777,2000,2000,,,,,
episode,3984.621966500068,753187,4600,0.7539589133333333,100000,751061,2.40519936594367,2000,2000,0.0,270.1637625310939,130.6,117.76,256
episode,4026.6710351670627,759695,4650,0.7518329666666667,100000,757569,2.3099932612031697,2000,2000,0.0,272.76535204664975,130.16,121.6,256
env_step,4028.588261750061,760000,4651,0.7517333333333334,100000,757874,2.277311602756381,2000,2000,,,,,
episode,4069.0613075001165,765886,4700,0.7498105733333333,100000,763760,2.270038170650601,2000,2000,0.0,254.009431777526,123.82,110.08,256
env_step,4096.221442708047,770000,4733,0.7484666666666666,100000,767874,2.225638442695141,2000,2000,,,,,
