event,wall_time_s,env_step,episode,epsilon,buffer_size,train_steps,mean_loss,loss_n_finite,loss_n_total,win_rate_pct,mean_return,mean_ep_len,mean_max_tile,best_max_tile
env_step,2424.371753499843,50000,420,0.905,16800,48001,5.670962052762508,2000,2000,,,,,
greedy_eval,2424.3741043750197,50000,420,0.905,16800,48001,5.670962052762508,2000,2000,0.0,,152.59,130.72,
episode,2658.9276032079943,53744,450,0.8978864,18060,51745,5.663641955584287,2000,2000,0.0,252.82513779395612,123.24,115.2,256
episode,2951.7169945409987,59493,500,0.8869633,19996,57494,5.983202263236046,2000,2000,0.0,232.8700221875685,114.98,108.16,256
env_step,2978.166663540993,60000,503,0.886,20166,58001,5.987022338092327,2000,2000,,,,,
episode,3246.3654143328313,65168,550,0.8761808,21903,63169,6.1450137004554275,2000,2000,0.0,228.29048560449806,113.5,97.92,256
env_step,3497.138887540903,70000,589,0.867,23532,68001,6.226408165812493,2000,2000,,,,,
episode,3571.1930202499498,71424,600,0.8642944,24010,69425,6.309481544196606,2000,2000,0.0,258.4591147665356,125.12,117.76,256
episode,3891.287666707998,77557,650,0.8526417,26070,75558,6.647666154116392,2000,2000,0.0,251.75503290075434,122.66,106.24,256
env_step,4018.3059511659667,80000,670,0.848,26890,78001,6.616668203502893,2000,2000,,,,,
episode,4197.763557374943,83493,700,0.8413633,28066,81494,6.709507007926702,2000,2000,0.0,240.86781824955986,118.72,105.92,256
episode,4504.097337624989,89640,750,0.829684,30133,87641,6.5425506903231145,2000,2000,0.0,251.62072087440455,122.94,105.6,256
env_step,4523.80301683303,90000,752,0.829,30254,88001,6.579956774890423,2000,2000,,,,,
episode,4805.431731624994,95545,800,0.8184645,32116,93546,6.609106111735105,2000,2000,0.0,241.70842489459855,118.1,108.8,256
env_step,5037.48678333289,100000,835,0.81,33611,98001,6.530970552265644,2000,2000,,,,,
greedy_eval,5037.488440749934,100000,835,0.81,33611,98001,6.530970552265644,2000,2000,0.0,,138.732,120.992,
episode,5159.385376665974,101638,850,0.8068877999999999,34162,99639,6.475249240577221,2000,2000,0.0,250.17963471409087,121.86,111.36,256
episode,5490.258975457866,107998,900,0.7948038,36297,105999,6.664527195632457,2000,2000,0.0,262.19283069982555,127.2,119.68,256
env_step,5595.392895040801,110000,915,0.791,36968,108001,6.62759268206358,2000,2000,,,,,
episode,5822.108774791006,114338,950,0.7827578000000001,38425,112339,6.654989348232746,2000,2000,0.0,261.8280039635517,126.8,120.32,256
env_step,6115.631437540986,120000,998,0.772,40327,118001,6.6311107814311985,2000,2000,,,,,
episode,6125.587348790839,120193,1000,0.7716333,40392,118194,6.579320819973946,2000,2000,0.0,240.29630703503005,117.1,108.16,256
episode,6420.783565165941,125862,1050,0.7608622,42300,123863,6.8049931963086125,2000,2000,0.0,230.63054875957548,113.38,103.68,256
